Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,130.7650604248047,165.35836791992188,410.4960021972656,91.09152221679688,258.0720520019531,1632.926513671875,127.57152557373047,70.3245849609375,280.51910400390625,130.3209228515625,8693.8203125,399.884521484375,156.4699249267578,1683.1834716796875,255.08705139160156,48.85480499267578,126.88776397705078,319.2104797363281,1410.8704833984375,124.22660064697266,36.20764923095703,446.12109375,719.3350219726562,186.27249145507812,,147.9202423095703,25.716894149780273,402.2291564941406,226.857421875,323.02642822265625,580.8746337890625,613.4266967773438,436.58831787109375,1389.0794677734375,84.56126403808594,113.63642883300781,59.246578216552734,387.8851318359375,221.02560424804688,348.6785888671875,521.5100708007812,309.8193054199219,15.02570915222168,188.7030792236328,78.63436126708984,1952.255615234375,86.95552062988281,135.69540405273438,87.24320983886719,207.49366760253906,
2013-01-02,131.38186645507812,167.36590576171875,405.75341796875,94.97628021240234,262.6456604003906,1686.8111572265625,126.16980743408203,72.32793426513672,279.6047058105469,132.79225158691406,8775.0849609375,402.75836181640625,155.9265899658203,1684.9715576171875,249.17910766601562,49.85950469970703,127.52000427246094,320.53955078125,1416.8193359375,125.01374816894531,37.08223342895508,446.0371398925781,731.1229248046875,188.77281188964844,,146.96754455566406,26.23287010192871,411.494873046875,226.8917236328125,326.4806213378906,581.0634765625,622.7325439453125,435.1048889160156,1428.5211181640625,85.64886474609375,116.58721160888672,58.85628128051758,391.2301330566406,223.2208709716797,349.3387145996094,521.1595458984375,311.0419616699219,15.023991584777832,189.9258575439453,78.21863555908203,1964.2713623046875,88.83824157714844,134.61839294433594,89.22766876220703,214.73989868164062,5993.25
2013-01-03,131.2395477294922,169.1686553955078,408.0504455566406,95.21171569824219,263.2326965332031,1696.500244140625,129.56666564941406,72.28846740722656,285.657470703125,134.6704864501953,8713.4541015625,400.2677001953125,156.68728637695312,1725.8648681640625,249.60665893554688,49.66813659667969,127.66279602050781,318.6741943359375,1403.8807373046875,124.45811462402344,37.24465560913086,447.59259033203125,730.173095703125,188.45928955078125,,146.01490783691406,26.189468383789062,412.7302551269531,229.7117156982422,325.486572265625,575.3463745117188,617.9379272460938,434.0850524902344,1415.5882568359375,85.67606353759766,118.79498291015625,59.40269470214844,397.1358337402344,225.13833618164062,346.0145263671875,528.29638671875,311.1397705078125,15.166295051574707,190.2593536376953,81.24759674072266,1954.234130859375,89.4949951171875,136.00306701660156,90.0232925415039,214.78634643554688,6009.5
2013-01-04,130.48037719726562,168.88189697265625,408.54241943359375,94.95272064208984,261.1495361328125,1689.377197265625,129.6273956298828,73.81810760498047,284.7865295410156,136.51571655273438,8655.3427734375,398.6392822265625,158.14352416992188,1732.328857421875,246.32977294921875,50.73435974121094,129.31478881835938,316.808837890625,1403.8807373046875,122.74495697021484,39.206207275390625,449.568359375,723.43701171875,190.12350463867188,,145.4227294921875,27.11533546447754,409.3566589355469,230.8563232421875,323.15069580078125,571.2357788085938,614.5971069335938,436.3333435058594,1417.5601806640625,86.41020202636719,120.9178466796875,59.81902313232422,397.6434326171875,226.5137939453125,346.62750244140625,535.9696044921875,308.49884033203125,14.864546775817871,190.49179077148438,80.71305847167969,1970.689697265625,88.31282806396484,138.0031280517578,89.44715881347656,210.93096923828125,6016.14990234375
2013-01-07,132.90020751953125,167.03817749023438,407.8323974609375,94.92918395996094,259.9942932128906,1682.71337890625,129.43582153320312,76.08792114257812,284.61236572265625,136.6804656982422,8639.4609375,406.4942321777344,156.57862854003906,1730.7242431640625,248.14059448242188,50.07822036743164,128.060546875,311.609130859375,1410.833251953125,124.45811462402344,41.11155700683594,441.7491455078125,710.6988525390625,190.08331298828125,,143.6976318359375,27.124980926513672,409.92681884765625,233.33737182617188,322.2808837890625,565.8494873046875,599.552978515625,442.3133850097656,1453.4703369140625,85.7032470703125,122.27644348144531,59.53279495239258,395.2210693359375,224.7739715576172,350.8711242675781,534.175048828125,306.3959045410156,15.118288040161133,187.369140625,81.5148696899414,1969.53125,88.7287826538086,138.44754028320312,91.12983703613281,207.40077209472656,5988.39990234375
2013-01-08,130.4329376220703,165.52224731445312,407.80914306640625,94.50538635253906,257.61749267578125,1683.900390625,129.3190155029297,75.15040588378906,287.6605529785156,133.74781799316406,8593.2490234375,411.4275207519531,156.60037231445312,1749.5665283203125,243.8906707763672,49.83217239379883,129.44737243652344,312.5651550292969,1398.786865234375,123.1616439819336,40.38689422607422,441.8332824707031,725.682373046875,189.66522216796875,,147.1220245361328,27.134624481201172,412.2076416015625,230.31101989746094,324.4179992675781,565.0462036132812,591.5308227539062,444.2371826171875,1444.5272216796875,85.62168884277344,123.1680908203125,60.59962463378906,392.47589111328125,227.1195526123047,355.7275695800781,536.4029541015625,307.2762145996094,14.859403610229492,187.23776245117188,81.72272491455078,1948.73291015625,87.43714141845703,136.12271118164062,91.38589477539062,208.09750366210938,6001.7001953125
2013-01-09,128.25035095214844,161.42515563964844,405.0295104980469,92.52772521972656,255.60061645507812,1652.841064453125,128.14154052734375,76.12738800048828,290.6651916503906,135.13177490234375,8529.3056640625,410.3738098144531,158.10009765625,1752.087890625,241.4951934814453,50.6591682434082,129.68194580078125,311.28271484375,1373.9505615234375,122.2819595336914,41.96738815307617,436.6202697753906,716.787353515625,189.80992126464844,,143.92933654785156,27.616846084594727,412.9679260253906,229.0337371826172,322.6039123535156,559.70703125,585.0374755859375,447.088134765625,1439.711669921875,84.67001342773438,124.05968475341797,60.131263732910156,393.4217529296875,229.80215454101562,358.91021728515625,526.646484375,320.1873779296875,14.48050308227539,189.86526489257812,80.77247619628906,1893.9136962890625,86.18928527832031,135.74664306640625,92.21808624267578,207.49366760253906,5971.5
2013-01-10,128.86715698242188,157.1232147216797,404.89495849609375,89.86725616455078,259.0758056640625,1637.7137451171875,131.33750915527344,75.17012023925781,287.44287109375,135.1647186279297,8634.6455078125,407.5479431152344,158.94775390625,1751.30859375,244.88113403320312,50.22858810424805,130.8546142578125,315.1532897949219,1374.7315673828125,120.42990112304688,41.261474609375,434.35015869140625,712.9010620117188,189.65719604492188,,144.7017822265625,27.597558975219727,419.2876281738281,228.17892456054688,324.96466064453125,552.8561401367188,583.8671264648438,445.62786865234375,1442.1884765625,83.63680267333984,128.32666015625,59.27261734008789,392.1990966796875,231.28692626953125,355.6333312988281,519.1382446289062,326.3984069824219,14.418782234191895,197.18173217773438,81.30699157714844,1832.9180908203125,84.63494873046875,135.2509307861328,94.27570343017578,209.76974487304688,5968.64990234375
2013-01-11,124.9764633178711,152.73931884765625,399.02484130859375,86.87715148925781,258.3371887207031,1622.3565673828125,129.42648315429688,73.17665100097656,283.2189636230469,135.3953857421875,8520.830078125,403.7641906738281,156.77423095703125,1741.9561767578125,245.29127502441406,49.81850051879883,131.5175018310547,312.1221008300781,1367.8160400390625,117.65181732177734,40.7304801940918,418.795654296875,699.08349609375,187.092529296875,,140.7881317138672,27.462533950805664,409.6417236328125,266.47900390625,313.1112060546875,555.3602905273438,578.3364868164062,434.7803955078125,1435.7216796875,83.03861236572266,124.12334442138672,58.8823127746582,387.5160217285156,226.91004943847656,348.5606384277344,538.9193115234375,323.1706237792969,14.30905532836914,199.96078491210938,79.55494689941406,1817.62060546875,85.1165771484375,143.5758819580078,91.15726470947266,215.80824279785156,5951.2998046875
2013-01-14,129.34164428710938,155.73019409179688,405.15948486328125,90.43229675292969,262.50360107421875,1603.3994140625,130.25352478027344,73.65034484863281,286.2672119140625,136.94406127929688,8527.2197265625,398.78289794921875,156.12217712402344,1754.0592041015625,241.25082397460938,50.700191497802734,137.2178955078125,312.1221008300781,1370.604736328125,118.76304626464844,41.223995208740234,424.84930419921875,714.2396240234375,190.565673828125,,143.10540771484375,27.785627365112305,418.289794921875,275.7543029785156,312.39056396484375,547.2334594726562,586.9628295898438,433.4360046386719,1411.7357177734375,83.77274322509766,129.60032653808594,58.30987548828125,391.0455627441406,227.70252990722656,346.6982116699219,550.5322875976562,320.5296936035156,14.531938552856445,202.5175018310547,82.04938507080078,1801.0687255859375,86.18928527832031,143.30238342285156,92.63875579833984,216.17987060546875,6024.0498046875
